question,class
"J’ai perdu mes clés, où se situe le bureau des objets trouvés ?",service_campus
Quelles sont les règles pour le retrait d’un cours  !?,reglement
Où et à quele heure est mon cours du lundi à 8h30 ?,emploi_du_temps
Comment obtenir une convention de stage  !?,procedure_administrative
"Excusez-moi, comment réussir le prochain module de statistiques ?",formation
Petite question : Quelles sont les matières principales en Psychologie … ?,formation
"S'il vous plaît, j’aimerais savoir : Quel est l’horaire du cours de microéconomie avec le professeur Moreau , pour la semaine prochaine ?",emploi_du_temps
"Excusez-moi, Est-il possible de savoir où soumettre la demande de carte étudiante ?",procedure_administrative
"Excusez-moi, à quelle heure commencent les TD de programmation Python ?",emploi_du_temps
Quels sont les prérequis pour le Master Robotique ?,formation
"Est-il possible de savoir comment réussir le prochain module de statistiques , pour la semaine prochaine … ?",formation
Quelles sont les règles pour le retrait d’un cours ?,reglement
"Que se passe-t-il en cas de triche à un examen , merci d’avance ?! ?",reglement
Est-il possible de savoir puis-je changer de majeure ou de spécialisation en cours d’année ?,formation
Petite question : où consulter le code de conduite des étudiants ?,reglement
Pouvez-vous me donner l’emploi du temps du semestre de printemps pour programmation Python ?,emploi_du_temps
Où consulter le code de conduite des étudiants ?,reglement
J’aimerais savoir : Comment demander un report d’admission ?,procedure_administrative
J’aimerais savoir : Pouvez-vous me donner l’emploi du temps du semestre de automne pour robotique ?,emploi_du_temps
J’aimerais savoir : J’aimerais savoir quand se déroule le cours de chimie organique ?,emploi_du_temps
"Combien d’absences sont autorisées avant une sanction , c’est urgent ?",reglement
Existe-t-il un minimum de crédits ou de moyenne par semestre ?,reglement
J’aimerais savoir : Combien de crédits faut-il pour se spécialiser en Biologie ?,formation
"Excusez-moi, Quelle est la date limite pour l’abandon d’une UE , merci d’avance ?",procedure_administrative
Quels sont les horaires d’’’ouverture de la bureau des carrières ?,service_campus
J’aimerais savoir : Puis-je changer de majeure ou de spécialisation en cours d’année ?,formation
"Est-il possible de savoir le Wi-Fi ne fonctionne pas, que puis-je faire ?",service_campus
"Puis-je réserver une salle de travail ou un terrain de sport , pour aujourd’hui ?",service_campus
"Quel est l’horaire du cours de programmation Python avec le professeur Martin , pour aujourd’hui ?",emploi_du_temps
Pourriez-vous me dire : Combien de crédits faut-il pour se spécialiser en Psychologie ?,formation
Où déposer mon dossier pour payer mes frais de scolarité ?,procedure_administrative
Pourriez-vous m’indiquer le créneau de droit public ?,emploi_du_temps
J’aimerais savoir : Où consulter le code de conduite des étudiants ?,reglement
Pourriez-vous me dire : Comment demander un report d’admission ?,procedure_administrative
"Quelles sont les règles pour le retrait d’un cours , merci d’avance ?",reglement
"Bonjour, Pourriez-vous me dire : Quelles sont les matières principales en Informatique  ??",formation
Quel est l’horaire du cours de statistiques appliquées avec le professeur Dupont ?,emploi_du_temps
J’aimerais savoir : À quelle heure commencent les TD de robotique ?,emploi_du_temps
Comment demander un report d’amission ?,procedure_administrative
Quelles sont les règles pour le retrait d’un cours ?,reglement
Combien d’absences sont autorisées avant une sanction  ??,reglement
"Est-il possible de savoir comment réussir le prochain module de statistiques , merci d’avance ?",formation
Est-il possible de savoir où et à quelle heure est mon cours du jeudi à 10h00 ?,emploi_du_temps
Quelles sont les règles pour le retrait d’un cours ?,reglement
Quelle est la date limite pour la demande d’aide financière ?,procedure_administrative
"Le ENT ne fonctionne pas, que puis-je faire ?",service_campus
Que se passe-t-il en cas de triche à un examen ?,reglement
"Où soumettre la demande de carte étudiante , c’est urgent ?",procedure_administrative
Comment renouveler ma carte étudiante  !?,procedure_administrative
Est-il possible de savoir quelle est la date limite pour la demande d’aide financière ?,procedure_administrative
"Pourriez-vous me dire : Le Wi-Fi ne fonctionne pas, que puis-je faire ?",service_campus
Petite question : où se trouve la maison des étudiants ?,service_campus
"Le VPN ne fonctionne pas, que puis-je faire , pour la semaine prochaine ?",service_campus
Petite question : y a-t-il un règlement spécifique pour les stages ?,reglement
Pouvez-vous me donner l’emploi du temps du semestre de automne pour chimie organique ?,emploi_du_temps
J’aimerais savoir : Quelles sont les matières principales en Psychologie ?,formation
Puis-je changer de majeure ou de spécialisation en cours d’année ?,formation
"Pardon, comment demander un report d’admission , pour aujourd’hui ?",procedure_administrative
Quels sont les prérequis pour le Parcours Data Science ?,formation
"Excusez-moi, Pourriez-vous me dire : Quels sont les prérequis pour le Parcours Data Science , si possible ?",formation
Que se passe-t-il en cas de triche à un examen ?,reglement
Combien de crédits faut-il pour se spécialiser en Psychologie  !?,formation
Pouvez-vous me donner l’emploi du temps du semestre de automne pour droit public ?,emploi_du_temps
Comment renouveler ma carte étudiante … ?,procedure_administrative
"J’aimerais savoir : Quels sont les prérequis pour le Licence Histoire , pour la semaine prochaine ?",formation
"Quels sont les horaires d’ouverture de la bibliothèque centrale , pour aujourd’hui ?",service_campus
"Est-il possible de savoir le Wi-Fi ne fonctionne pas, que puis-je faire , merci d’avance ?",service_campus
Quelles sont les règles pour le retrait d’un cours  !?,reglement
"Où soumettre la demande de carte étudiante , pour aujourd’hui ?",procedure_administrative
Quels sont les horaires douverture de la maison des étudiants ?,service_campus
J’aimerais savoir : J’aimerais savoir quand se déroule le cours de psychologie cognitive ?,emploi_du_temps
"Bonsoir, est-il possible de savoir quels sont les horaires d’ouverture de la bibliothèque centrale ?",service_campus
Est-il possible de savoir quels sont les prérequis pour le Master Robotique ?,formation
J’aimerais savoir : Existe-t-il un minimum de crédits ou de moyenne par semestre … ?,reglement
Où soumettre la demande de carte étudiante ?,procedure_administrative
Comment réussir le prochain module de statistiques ?,formation
Y a-t-il un règlemetn spécifique pour les stages ?,reglement
Quels sont les prérequis pour le Licence Histoire ?,formation
Quelle est la date limite pour l’inscription aux cours ?,procedure_administrative
"Excusez-moi, Combien d’absences sont autorisées avant une sanction ?",reglement
Pourriez-vous me dire : Quelles sont les règles pour le retrait d’un cours ?,reglement
Combien d’absences sont autorisees avant une sanction ?,reglement
Quel est l’horaire du cours de économie avec le professeur Bennani … ?,emploi_du_temps
"S'il vous plaît, j’aimerais savoir quand se déroule le cours de algèbre avancée. ?",emploi_du_temps
"Comment me connecter au Wi-Fi de l’université , merci d’avance ?",service_campus
"Comment obtenir une convention de stage , si possible ?",procedure_administrative
"Bonsoir, combien d’absences sont autorisées avant une sanction ?",reglement
"Excusez-moi, quelles sont les matières principales en Informatique ?",formation
Petite question : quelles sont les règles pour le retrait d’un cours ?,reglement
Quels sont les horaires d’ouverture de la bureau des carrières ?,service_campus
"J’ai perdu mes clés, où se situe le bureau des objets trouvés , si possible ?",service_campus
J’aimerais savoir quand se déroule le cours de robotique. — pour aujourd’hui ?,emploi_du_temps
Où déposer mon dossier pour obtenir une convention de stage ?,procedure_administrative
Quels sont les prérequis pour le Parcours Data Science ?,formation
"Bonsoir, Puis-je réserver une salle de travail ou un terrain de sport , si possible ?",service_campus
"Excusez-moi, J’aimerais savoir : Comment demander un report d’admission ?",procedure_administrative
Où soumettre la demande de carte étudiante ?,procedure_administrative
Pouvez-vous me donner l’emploi du temps du semestre de automne poru microéconomie ?,emploi_du_temps
"Est-il possible de savoir puis-je changer de majeure ou de spécialisation en cours d’année , pour la semaine prochaine ?",formation
J’aimerais savoir quand se déroule le cours de biologie cellulaire. ?,emploi_du_temps
Comment candidater pour la remise de diplôme ?,procedure_administrative
Combien de crédits faut-il pour se spécialiser en Psychologie ?,formation
Quelles sont les règles pour le retrait d’un cours ?,reglement
J’aimerais savoir : Où se trouve la bureau des carrières ?,service_campus
Que se passe-t-il en cas de triche à un examen ?,reglement
"J’ai perdu mes clés, où se situe le bureau des objets trouvés ?",service_campus
"Quels documents sont requis pour un changement de parcours , si possible ?",procedure_administrative
"Pardon, puis-je réserver une salle de travail ou un terrain de sport , merci d’avance ?",service_campus
Où déposer mon dossier pour candidater pour la remise de diplôme  !?,procedure_administrative
"S'il vous plaît, est-il possible de savoir où se trouve la service logement ?",service_campus
J’aimerais savoir : Quels sont les horaires d’ouverture de la service logement ?,service_campus
"Bonjour, Pourriez-vous m’indiquer le créneau de statistiques appliquées , pour la semaine prochaine ?",emploi_du_temps
"Bonjour, Est-il possible de savoir y a-t-il un règlement spécifique pour les stages ?",reglement
J’aimerais savoir : Où consulter le code de conduite des étudiants ?,reglement
Pourriez-vous me dire : J’aimerais savoir quand se déroule le cours de chimie organique ?,emploi_du_temps
Quelles sont les UE obligatoires pour le Parcours Data Science ?,formation
Quelle est la date limite pour la demande d’aide financière ?,procedure_administrative
Est-il possible de savoir comment demander un report d’admission ?,procedure_administrative
"Bonjour, Où se trouve la bureau des carrières , c’est urgent ?",service_campus
"J’ai perdu mes clés, où se situe le bureau des objets trouvés , c’est urgent ?",service_campus
J’aimerais savoir : Quels sont les horaires d’ouverture de la bureau des carrières ?,service_campus
"Pourriez-vous me dire : Comment me connecter au Wi-Fi de l’université , pour aujourd’hui ?",service_campus
J’aimerais savoir : Combien d’absences sont autorisées avant une sanction ?,reglement
J’aimerais savoir : Pouvez-vous me donner l’emploi du temps du semestre de été pour biologie cellulaire ?,emploi_du_temps
Pourriez-vous me dire : Puis-je changer de majeure ou de spécialisation en cours d’année ?,formation
Pouvez-vous me donner l’emploi du temps du semestre de été pour microéconomie ?,emploi_du_temps
"Petite question : comment demander un report d’admission , si possible ?",procedure_administrative
Pourriez-vous me dire : Quelles sont les UE obligatoires pour le Master Robotique ?,formation
"Bonjour, pourriez-vous me dire : Quel est l’horaire du cours de économie avec le professeur Anderson ?",emploi_du_temps
Pourriez-vous m’indiquer le créneau de microéconomie ?,emploi_du_temps
Comment candidater pour la remise de diplôme ?,procedure_administrative
J’aimerais savoir : Quels sont les horaires d’ouverture de la bureau des carrières ?,service_campus
"Est-il possible de savoir quelles sont les UE obligatoires pour le Master Psychologie , c’est urgent  ??",formation
Est-il possible de savoir combien de crédits faut-il pour se spécialiser en Psychologie ?,formation
J’aimerais savoir : Pouvez-vous me donner l’emploi du temps du semestre de automne pour droit public ?,emploi_du_temps
J’aimerais savoir : Où consulter le code de conduite des étudiants ?,reglement
"Pardon, quelle est la date limite pour la demande d’aide financière ?",procedure_administrative
"Pourriez-vous me dire : Comment demander un report d’admission , pour la semaine prochaine ?",procedure_administrative
"Bonsoir, quelle est la date limite pour l’abandon d’une UE ?",procedure_administrative
Quelles sont les matières principales en Lettres modernes ?,formation
Comment demander un relevé officiel ?,procedure_administrative
Quels documents sont requis pour un changement de parcours ?,procedure_administrative
"Excusez-moi, quels documents sont requis pour un changement de parcours ?! ?",procedure_administrative
"Quand a lieu le prochain cours de microéconomie , pour la semaine prochaine ?",emploi_du_temps
Pourriez-vous me dire : Où et à quelle heeeure est mon cours du vendredi à 14h00 ?,emploi_du_temps
Où et à quelle heure est mon cours du vendredi à 8h30 ?,emploi_du_temps
"Est-il possible de savoir où se trouve la centre de santé , si possible ?",service_campus
"S'il vous plaît, quelles sont les matières principales en Philosophie ?",formation
"Pourriez-vous me dire : J’ai perdu mes clés, où se situe le bureau des objets trouvés , pour la semaine prochaine ?",service_campus
J’aimerais savoir : Quels documents sont requis pour un changement de parcours ?,procedure_administrative
Existe-t-il un minimum de crédits ou de moyenne par semestre ?,reglement
Est-il possible de savoir comment demander un report d’admission ?,procedure_administrative
Où déposer mon dossier pour payer mes frais de scolarité ?,procedure_administrative
"Puis-je réserver une salle de travail ou un terrain de sport , merci d’avance ?",service_campus
Existe-t-il un minimum de crédits ou de moyenne par semestre ?,reglement
Comment demander un report d’admission ?,procedure_administrative
"S'il vous plaît, Où et à quelle heure est mon cours du lundi à 8h30 ?",emploi_du_temps
Pourriez-vous me dire : Comment réussir le prochain module de statistiques ?,formation
Que se passe-t-il en cas de triche à un examen ?,reglement
Est-il possible de savoir à quelle heure commencent les TD de programmation Python ?,emploi_du_temps
"Combien d’absences sont autorisées avant une sanction , c’est urgent ?",reglement
Quel est l’horaire du cours de littérature moderne avec le professeur Anderson ?,emploi_du_temps
Comment réussir le prochain module de statistiques ?,formation
"Pardon, où soumettre la demande de carte étudiante  ??",procedure_administrative
Quel est l’horaire du cours de statistiques appliquées avec le professeur Anderson ?,emploi_du_temps
"Pardon, J’aimerais savoir : Comment renouveler ma carte étudiante ?",procedure_administrative
J’aimerais savoir : Y a-t-il un règlement spécifique pour les stages ?,reglement
"Le Wi-Fi ne fonctionne pas, que puis---je faire ?",service_campus
"Pardon, pourriez-vous me dire : Où se trouve la centre de santé ?",service_campus
Où puis-je imprimer mes documents sur le campus … ?,service_campus
J’aimerais savoir : Quelle est la date limite pour l’inscription aux cours ?,procedure_administrative
Comment réussir le prochain module de statistiques ?,formation
"Bonjour, Quelles sont les UE obligatoires pour le Parcours Data Science ?",formation
Quelle est la date limite pour l’inscription aux cours ?,procedure_administrative
Comment payer mes frais de scolarité ?,procedure_administrative
"Pourrie-zvous me dire : Que se passe-t-il en cas de triche à un examen , merci d’avance ?",reglement
"Comment me connecter au portail étudiant de l’université , c’est urgent ?",service_campus
"Puis-je réserver une salle de travail ou un terrain de sport , si possible ?",service_campus
"Pouvez-vous me donner l’emploi du temps du semestre de printemps pour droit public , pour aujourd’hui  !?",emploi_du_temps
Est-il possible de savoir quels documents sont requis pour un changement de parcours ?,procedure_administrative
Combien de crédits faut-il pour se spécialiser en Lettres modernes ?,formation
J’aimerais savoir : Quelles sont les matières principales en Informatique ?,formation
Quelle est la date limite pour l’inscription aux cours ?,procedure_administrative
Est-il possible de savoir quelles sont les matières principales en Lettres modernes ?,formation
"Quel est l’horaire du cours de algèbre avancée avec le professeur Bennani , si possible  !?",emploi_du_temps
Existe-t-il un minimum de crédits ou de moyenne par semestre ?,reglement
"Pardon, où consulter le code de conduite des étudiants , merci d’avance ?",reglement
Où déposer mon dossier pour payer mes frais de scolarité ?,procedure_administrative
"Bonjour, Y a-t-il un règlement spécifique pour les stages  ??",reglement
Petite question : combien de crédits faut-il pour se spécialiser en Psychologie ?,formation
"Pourriez-vous me dire : Où déposer mon dossier pour payer mes frais de scolarité , pour aujourd’hui ?",procedure_administrative
"Excusez-moi, Existet-il un minimum de crédits ou de moyenne par semestre ?",reglement
"Quelles sont les règles pour le retrait d’un cours , c’est urgent ?",reglement
"Est-il possible de savoir j’aimerais savoir quand se déroule le cours de psychologie cognitive , c’est urgent ?",emploi_du_temps
Quels sont les prérequis pour le Licence Histoire ?,formation
Que se passe-t-il en cas de triche à un examen ?,reglement
"Bonsoir, Pourriez-vous me dire : Quelle est la politique concernant le probation académique , pour la semaine prochaine ?",reglement
"Bonjour, comment candidater pour la remise de diplôme ?",procedure_administrative
Y a-t-il un règlement spécifique pour les stages ?,reglement
"Excusez-moi, y a-t-il un règlement spécifique pour les stages ?",reglement
Est-il possible de saoir où et à quelle heure est mon cours du lundi à 8h30 ?,emploi_du_temps
"Excusez-moi, où consulter le code de conduite des étudiants , merci d’avance ?",reglement
Quelle est la politique concernant le probation académique ?,reglement
Quels sont les prérequis pour le Licence Histoire ?,formation
"Pardon, Comment me connecter au VPN de l’université ?",service_campus
"Bonsoir, Pourriez-vous me dire : Pourriez-vous m’indiquer le créneau de chimie organique ?",emploi_du_temps
Petite question : Quels sont les prérequis pour le Master Robotique  !?,formation
J’aimerais savoir : Quelles sont les UE obligtaoires pour le MBA Finance  !?,formation
Où soumettre la demande de carte étudiante ?,procedure_administrative
Combien de crédits faut-il pour se spécialiser en Informatique ?,formation
Où se trouve la gymnase  !?,service_campus
Petite question : comment me connecter au portail étudiant de l’université ?,service_campus
"Bonsoir, j’aimerais savoir quand se déroule le cours de microéconomie. ?",emploi_du_temps
"Pardon, J’aimerais savoir : Comment mettre à jour mon adresse ?",procedure_administrative
J’aimerais savoir : Où consulter le code de conduite des étudiants ?,reglement
Quelle est la date limite pour la demande d’aide financière ?,procedure_administrative
"S'il vous plaît, comment me connecter au ENT de l’université  ??",service_campus
"Excusez-moi, j’ai perdu mes clés, où se situe le bureau des objets trouvés ?",service_campus
"S'il vous plaît, combien d’absences sont autorisées avant une sanction ?",reglement
Y a-t-il un règlement spécifique pour les stages ?,reglement
"À quelle heure commencent les TD de algèbre avancée , pour aujourd’hui ?",emploi_du_temps
"Bonjour, combien de crédits faut-il pour se spécialiser en Philosophie ?",formation
Combien de crédits faut-il pour se spécialiser en Philosophie ?,formation
Où déposer mon dossier pour mettre à jour mon adresse ?,procedure_administrative
Où puis-je imprimer mes documents sur le campus  ??,service_campus
"Y a-t-il un règlement spécifique pour les stages , c’est urgent ?",reglement
Puis-je réserver une salle de travail ou un terrain de sport ?,service_campus
"Pardon, J’aimerais savoir : Pourriez-vous m’indiquer le créneau de programmation Python ?",emploi_du_temps
Y a-t-il un règlement spécifique pour les stages ?,reglement
"Où soumettre la demande de carte étudiante , pour la semaine prochaine ?",procedure_administrative
Quand a lieu le prochain cours de algèbre avancée ?,emploi_du_temps
Quelles sont les règles pour le retrait d’un cours … ?,reglement
Est-il possible de savoir puis-je réserver une salle de travail ou un terrain de sport ?,service_campus
Pourriez-vous m’indiquer le créneau de chimie organique ?! ?,emploi_du_temps
"Le ENT ne fonctionne pas, que puis-je faire ?",service_campus
"Petite question : j’aimerais savoir : Quel est l’horaire du cours de économie avec le professeur Anderson , c’est urgent ?",emploi_du_temps
"S'il vous plaît, Combien d’absences sont autorisées avant une sanction ?",reglement
Puis-je réserver une salle de travail ou un terrain de sport ?,service_campus
"Quelle est la date limite pour la demande d’aide financière , merci d’avance ?",procedure_administrative
"Le Wi-Fi ne fonctionne pas, que puis-je faire ?",service_campus
"Le Wi-Fi ne fonctionne pas, que puis-je faire , pour aujourd’hui ?",service_campus
Quelles sont les matières principales en Psychologie ?,formation
"Quelle est la date limite pour la demande d’aide financière , c’est urgent ?",procedure_administrative
Puis-je réserver une salle de travail ou un terrain de sport ?,service_campus
"Petite question : J’aimerais savoir : Où puis-je imprimer mes documents sur le campus , pour la semaine prochaine ?",service_campus
Pourriez-vous me dire : Puis-je changer de majeure ou de spécialisation en cours d’année ?! ?,formation
Petite question : Est-il possible de savoir quels sont les prérequis pour le Master Psychologie ?,formation
Comment payer mes frais de scolarité  !?,procedure_administrative
"Bonsoir, puis-je réserver une salle de travail ou un terrain de sport ?",service_campus
Quelle est la date limite pour l’inscription aux cours ?,procedure_administrative
J’aimerais savoir : Que se passe-t-il en cas de triche à un examen  !?,reglement
J’aimerais savoir : Combien d’absences sont autorisées avant une sanction ?,reglement
Petite question : J’aimerais savoir : Où soumettre la demande de carte étudiante ?,procedure_administrative
"Quel est l’horaire du cours de statistiques appliquées avec le professeur Bennani , c’est urgent ?",emploi_du_temps
Pourriez-vous me dire : Comment me connecter au VPN de l’université ?,service_campus
Quelles sont les matières principales en Biologie ?,formation
"S'il vous plaît, j’aimerais savoir : J’ai perdu mes clés, où se situe le bureau des objets trouvés ?",service_campus
Petite question : pourriez-vous m’indiquer le créneau de littérature moderne ?! ?,emploi_du_temps
"Petite question : Le Wi-Fi ne fonctionne pas, que puis-je faire , pour la semaine prochaine ?",service_campus
Quelle est la politique concernant le rattrapage d’examen ?,reglement
Petite question : Où déposer mon dossier pour payer mes frais de scolarité ?,procedure_administrative
"Pardon, Quelles sont les règles pour le retrait d’un cours ?",reglement
Quelles sont les règles pour le retrait d’un cours ?,reglement
Où soumettre la demande de carte étudiante ?,procedure_administrative
"Pourriez-vous me dire : Où puis-je imprimer mes documents sur le campus , pour la semaine prochaine ?",service_campus
Est-il possible de savoir comment réussir le prochain module de statistiques ?! ?,formation
Est-il possible de savoir puis-je réserver une salle de travail ou un terrain de sport ?,service_campus
Puis-je changer de majeure ou de spécialisation en cours d’année  ??,formation
