Question,Class
Where is the Introduction to Literature lecture held?,emploi de temps
Can I change my lab session time?,emploi de temps
Are there any internship opportunities related to my degree?,formation
How many absences are allowed in a course?,reglement
Where can I get mental health counseling?,service_campus
Show me the timetable for the Engineering department.,emploi de temps
Where can I update my contact information?,procedure_adiminstravie
Do you have a lost and found office?,service_campus
How many absences are allowed in a course?,reglement
What's the process for requesting a leave of absence?,procedure_adiminstravie
What courses are mandatory for the Computer Science major?,formation
What time is the final exam for Calculus II?,emploi de temps
How do I officially withdraw from a course?,procedure_adiminstravie
How do I contact campus security?,service_campus
How do I declare a major?,formation
What is the duration of the Master's program in Business?,formation
How do I declare a major?,formation
Is there a gym on campus?,service_campus
What are the prerequisites for Advanced Thermodynamics?,formation
Where can I get mental health counseling?,service_campus
What specializations are available in the Biology department?,formation
Can I change my lab session time?,emploi de temps
What is the process for appealing a grade?,reglement
Show me the timetable for the Engineering department.,emploi de temps
What is the minimum GPA required to graduate?,reglement
How can I access the university Wi-Fi?,service_campus
How do I officially withdraw from a course?,procedure_adiminstravie
Can I change my lab session time?,emploi de temps
What courses are mandatory for the Computer Science major?,formation
What courses are mandatory for the Computer Science major?,formation
Where can I find the student code of conduct?,reglement
How can I access the university Wi-Fi?,service_campus
Is there a gym on campus?,service_campus
Can I minor in Linguistics?,formation
Show me the timetable for the Engineering department.,emploi de temps
What is the deadline for course registration?,procedure_adiminstravie
Can I minor in Linguistics?,formation
Can international students work part-time?,reglement
How do I pay my tuition fees?,procedure_adiminstravie
Where can I update my contact information?,procedure_adiminstravie
What documents are needed for financial aid application?,procedure_adiminstravie
Where is the main library located?,service_campus
How many credits do I need to graduate?,formation
Do you have a lost and found office?,service_campus
What is the process for appealing a grade?,reglement
What time is the final exam for Calculus II?,emploi de temps
What are the university's academic integrity rules?,reglement
What's the process for requesting a leave of absence?,procedure_adiminstravie
What specializations are available in the Biology department?,formation
What's the process for requesting a leave of absence?,procedure_adiminstravie
What documents are needed for financial aid application?,procedure_adiminstravie
Do you have a lost and found office?,service_campus
Can international students work part-time?,reglement
What specializations are available in the Biology department?,formation
How do I contact campus security?,service_campus
How do I declare a major?,formation
How do I officially withdraw from a course?,procedure_adiminstravie
What is the process for appealing a grade?,reglement
Where can I find the student code of conduct?,reglement
Where is the Introduction to Literature lecture held?,emploi de temps
Where is the main library located?,service_campus
Where can I find the student code of conduct?,reglement
Where is the main library located?,service_campus
What are the office hours for Professor Smith?,emploi de temps
What documents are needed for financial aid application?,procedure_adiminstravie
What is the minimum GPA required to graduate?,reglement
What documents are needed for financial aid application?,procedure_adiminstravie
What courses are mandatory for the Computer Science major?,formation
What is the deadline for course registration?,procedure_adiminstravie
When does the Physics 101 class start?,emploi de temps
What's the process for requesting a leave of absence?,procedure_adiminstravie
How many credits do I need to graduate?,formation
What are the office hours for Professor Smith?,emploi de temps
How do I pay my tuition fees?,procedure_adiminstravie
Can I minor in Linguistics?,formation
When is the next academic break?,emploi de temps
What's the process for requesting a leave of absence?,procedure_adiminstravie
How can I get an official transcript?,procedure_adiminstravie
What time is the final exam for Calculus II?,emploi de temps
How do I book a study room?,service_campus
How to apply for a student ID card?,procedure_adiminstravie
Where can I find the student code of conduct?,reglement
What's the process for requesting a leave of absence?,procedure_adiminstravie
How many credits do I need to graduate?,formation
Can international students work part-time?,reglement
How can I get an official transcript?,procedure_adiminstravie
Can I minor in Linguistics?,formation
How can I get an official transcript?,procedure_adiminstravie
How do I book a study room?,service_campus
Show me the timetable for the Engineering department.,emploi de temps
Is there a gym on campus?,service_campus
Is there a gym on campus?,service_campus
How do I declare a major?,formation
When is the next academic break?,emploi de temps
What is the policy on late assignment submission?,reglement
How do I pay my tuition fees?,procedure_adiminstravie
How to apply for a student ID card?,procedure_adiminstravie
What are the opening hours of the student cafeteria?,service_campus
How to apply for a student ID card?,procedure_adiminstravie
How many credits do I need to graduate?,formation
What time is the final exam for Calculus II?,emploi de temps
What is the process for appealing a grade?,reglement
Can international students work part-time?,reglement
What is the deadline for course registration?,procedure_adiminstravie
Is there a gym on campus?,service_campus
What are the opening hours of the student cafeteria?,service_campus
What is the process for appealing a grade?,reglement
How many absences are allowed in a course?,reglement
What's the process for requesting a leave of absence?,procedure_adiminstravie
What is the minimum GPA required to graduate?,reglement
How many credits do I need to graduate?,formation
What time is the final exam for Calculus II?,emploi de temps
When is the next academic break?,emploi de temps
Can I minor in Linguistics?,formation
Where can I get mental health counseling?,service_campus
How can I get an official transcript?,procedure_adiminstravie
How can I get an official transcript?,procedure_adiminstravie
Can I minor in Linguistics?,formation
What are the office hours for Professor Smith?,emploi de temps
Can international students work part-time?,reglement
What specializations are available in the Biology department?,formation
Can I change my lab session time?,emploi de temps
Are laptops allowed during exams?,reglement
Is there a gym on campus?,service_campus
How do I book a study room?,service_campus
How do I book a study room?,service_campus
Where is the Introduction to Literature lecture held?,emploi de temps
What is the policy on late assignment submission?,reglement
Is there a gym on campus?,service_campus
What documents are needed for financial aid application?,procedure_adiminstravie
What is the duration of the Master's program in Business?,formation
What is my schedule for next semester?,emploi de temps
How do I book a study room?,service_campus
How do I officially withdraw from a course?,procedure_adiminstravie
Can I minor in Linguistics?,formation
Show me the timetable for the Engineering department.,emploi de temps
What time is the final exam for Calculus II?,emploi de temps
What time is the final exam for Calculus II?,emploi de temps
What are the university's academic integrity rules?,reglement
What time is the final exam for Calculus II?,emploi de temps
How many credits do I need to graduate?,formation
What is the deadline for course registration?,procedure_adiminstravie
What documents are needed for financial aid application?,procedure_adiminstravie
Where can I update my contact information?,procedure_adiminstravie
Where can I update my contact information?,procedure_adiminstravie
Are there any internship opportunities related to my degree?,formation
Can international students work part-time?,reglement
Can I minor in Linguistics?,formation
What courses are mandatory for the Computer Science major?,formation
Where is the main library located?,service_campus
What documents are needed for financial aid application?,procedure_adiminstravie
What documents are needed for financial aid application?,procedure_adiminstravie
Show me the timetable for the Engineering department.,emploi de temps
When is the next academic break?,emploi de temps
What is my schedule for next semester?,emploi de temps
How do I pay my tuition fees?,procedure_adiminstravie
What documents are needed for financial aid application?,procedure_adiminstravie
How do I officially withdraw from a course?,procedure_adiminstravie
What is the policy on late assignment submission?,reglement
What is the duration of the Master's program in Business?,formation
Where can I update my contact information?,procedure_adiminstravie
Do you have a lost and found office?,service_campus
How do I declare a major?,formation
